	MODEL	V295	V300	V305	S295	S300	S305	I295	I300	I305
0	CAM5-GCM	0.006216	0.009873	0.009625	0.709757	0.740831	0.737700	0.448597	0.568818	0.649494
1	CAM6-GCM	0.004994	0.005936	0.012738	0.697073	0.775345	0.759317	0.455125	0.494622	0.645067
2	CM1	0.049963	0.045499	0.046505	0.669666	0.716833	0.727333	0.771225	0.787371	0.836426
3	CNRM-CM6	0.032714	0.045292	0.056454	0.761460	0.816284	0.755899	0.506061	0.550485	0.566762
4	DAM	0.032011	0.027110	0.014568				0.732422	0.751641	0.776108
5	ECHAM6-GCM	0.003630	0.007396	0.020145	0.619033	0.681687	0.735075	0.670879	0.608255	0.629164
6	FV3	0.017329	0.023231	0.027130						
7	GEOS-GCM	0.004605	0.006367	0.018990	0.687717	0.698193	0.845680	0.356783	0.417698	0.634306
8	ICON-GCM				0.752710	0.793230	0.759222	0.452337	0.514447	0.591219
9	ICON-LEM-CRM	0.033244	0.018029	0.008396	0.693166	0.659	0.5925	0.702267	0.686161	0.667724
10	ICON-NWP-CRM	0.023328	0.017474	0.018058	0.697000	0.621666	0.601833	0.723879	0.642336	0.649991
11	IPSL-CM6	0.020168	0.026781	0.029200	0.914673	0.916618	0.912373	0.464988	0.633154	0.680700
12	MESONH	0.051619	0.044933	0.032370	0.766000	0.771333	0.610166	0.870585	0.899857	0.869052
13	MPAS	0.019823	0.022875	0.013032	0.619171	0.578112	0.541354	0.651794	0.699537	0.574177
14	NICAM	0.049963	0.045499	0.046505	0.767700	0.779641	0.789843	0.701556	0.769553	0.801276
15	SAM0-UNICON	0.009357	0.016112	0.014956	0.772347	0.829414	0.859551	0.513832	0.587067	0.548854
16	SAM-CRM	0.034935	0.033929	0.037212	0.697666	0.748333	0.704833	0.877020	0.911697	0.919688
17	SAM-GCRM	0.041994	0.049043	0.044416	0.724085	0.770311	0.714270	0.855358	0.890136	0.906238
18	SCALE	0.007775	0.007450	0.006105	0.611666	0.636333	0.659166	0.692121	0.692490	0.663348
19	SP-CAM	0.016936	0.021065	0.025062	0.750683	0.770927	0.777547	0.602185	0.594047	0.556736
20	SPX-CAM	0.028477	0.035758	0.023824	0.773542	0.812105	0.816308	0.524424	0.530610	0.526203
21	UCLA-CRM	0.025482	0.034994	0.036399	0.792999	0.744166	0.689833	0.905702	0.897887	0.903035
22	UKMO-GA7.1	0.019879	0.025495	0.024577	0.761558	0.788028	0.777515	0.550868	0.625285	0.667100
23	UKMO-CASIM	0.010573	0.010357	0.000997	0.660256	0.626816	0.522863	0.585343	0.582517	0.488524
24	UKMO-RA1-T	0.034624	0.029885	0.032018	0.656837	0.730341	0.765491	0.625349	0.712529	0.770194
25	UKMO-RA1-T-nocloud	0.028809	0.038231	0.030370	0.643482	0.682585	0.747649	0.610783	0.710702	0.750333
26	WRF-COL-CRM	0.013982	0.007536	0.005369	0.691833	0.674333	0.654	0.662236	0.692222	0.692297
27	WRF-CRM	0.007339	0.001425	0.007155	0.699333	0.516833	0.535999	0.646137	0.470087	0.521233
28	WRF-GCM-cps0	0.037238	0.039264	0.038615	0.579	0.593833	0.559166	0.458246	0.481750	0.520209
29	WRF-GCM-cps1	0.044919	0.041523	0.040930	0.550666	0.550333	0.541833	0.505960	0.518961	0.605593
30	WRF-GCM-cps2	0.036444	0.049575	0.050297	0.5535	0.553833	0.490999	0.433153	0.452188	0.525675
31	WRF-GCM-cps3	0.040040	0.036921	0.038004	0.577666	0.552666	0.558166	0.459434	0.505933	0.512051
32	WRF-GCM-cps4	0.035886	0.030188	0.058567	0.446166	0.445166	0.470333	0.478141	0.518686	0.585098
33	WRF-GCM-cps6	0.030414	0.037902	0.040247	0.520166	0.587666	0.565166	0.451229	0.511255	0.621009
