	LABEL	CF295	CF300	CF305	AT295	AT300	AT305	AZ295	AZ300	AZ305	Cr	Cb	Cg	Ca
0	CM1	0.12454681302351986	0.11563315846510024	0.09140621884683138	225.79600524902344	224.3675994873047	226.9275360107422	9.0	10.5	12.0	0.19215686274509805	0.5098039215686274	0.7411764705882353	1.0
1	DAM	0.07570995691872423	0.0739359621484911	0.07309651682760868	222.00038850831604	224.96039848233693	225.72149719717942	9.5	10.5	12.0	0.4	0.7607843137254902	0.6470588235294118	1.0
2	FV3	0.07728392078030494	0.07862337173954133	0.10648628973191784	226.4189910888672	228.04078674316406	228.92994689941406	9.657583984375	11.2257587890625	12.9644365234375	0.7372549019607844	0.7411764705882353	0.13333333333333333	1.0
3	ICON-LEM-CRM	0.16461995714496824	0.17744964533766813	0.18890117481897434	219.50015258789062	221.6714324951172	224.243408203125	9.947267578125	10.947267578125	12.447267578125	0.7411764705882353	0.6196078431372549	0.2235294117647059	1.0
4	ICON-NWP-CRM	0.20952220333973692	0.23724105955371663	0.2266066573075217	217.9961395263672	222.4903106689453	224.2982635498047	9.947267578125	10.447267578125	11.947267578125	0.5490196078431373	0.42745098039215684	0.19215686274509805	1.0
5	MESONH	0.08811710937500003	0.081585	0.1048925390625	224.7495880126953	224.95648193359375	225.87806701660156	9.0	10.5	12.0	0.9019607843137255	0.3333333333333333	0.050980392156862744	1.0
6	MPAS	0.06792892066984478	0.08381595159515949	0.06245691235790245	232.22830200195312	232.97564697265625	232.54164123535156	8.0	9.0	10.5	0.5019607843137255	0.6941176470588235	0.8274509803921568	1.0
7	NICAM	0.12506653442382815	0.17901787414550785	0.1417837005615235	219.67933654785156	219.10699462890625	218.85720825195312	9.9628251953125	11.762830078125	13.3628349609375	1.0	1.0	0.2	1.0
8	SAM-CRM	0.06781708367980353	0.060435417855140006	0.06630650133189589	222.43263244628906	223.07492065429688	222.73789978027344	9.5	11.0	13.0	0.6784313725490196	0.28627450980392155	0.2901960784313726	1.0
9	SAM-GCRM	0.11071157401927262	0.09029746349946954	0.07844790842153383	219.34356689453125	225.58065795898438	224.59410095214844	10.0	11.0	13.0	0.5176470588235295	0.23529411764705882	0.2235294117647059	1.0
10	SCALE	0.06136058807373047	0.057325248718261716	0.057618598937988284	223.21665954589844	226.38168334960938	224.0878143310547	9.0	10.0	12.0	0.10588235294117647	0.6196078431372549	0.4666666666666667	1.0
11	UCLA-CRM	0.011919419402247692	0.016846170976724688	0.029986449454547263	212.22007751464844	208.94398498535156	212.816162109375	12.0	14.0	15.5	1.0	0.9294117647058824	0.43529411764705883	1.0
12	UKMO-CASIM	0.1071514343584656	0.07307904817019399	0.046497774746472674	225.01724243164062	226.5142822265625	230.5900421142578	9.375	10.625	11.875	0.6470588235294118	0.3176470588235294	0.5803921568627451	1.0
13	UKMO-RA1-T	0.0996930803571429	0.07686642278439158	0.06127924520502646	219.6613645720363	223.02304588942346	226.548909448999	10.125	11.375	13.125055000000003	0.807843137254902	0.42745098039215684	0.7411764705882353	1.0
14	UKMO-RA1-T-nocloud	0.0975623484347442	0.07317618772045859	0.05952897652116402	223.14210510253906	223.7855224609375	228.49392700195312	9.625	11.125	12.375	0.8901960784313725	0.4666666666666667	0.7607843137254902	1.0
15	WRF-COL-CRM	0.15707368721954965	0.14846242670207285	0.14507938179616123	219.5675048828125	221.14964294433594	219.1361541748047	10.295662109375	11.603388671875	13.5058984375	0.2235294117647059	0.23137254901960785	0.4745098039215686	1.0
