	LABEL	RDFULL295	RDFULL300	RDFULL305	PAFULL295	PAFULL300	PAFULL305	ZGFULL295	ZGFULL300	ZGFULL305	TAFULL295	TAFULL300	TAFULL305	RD300S295	RD300S300	RD300S305	PA300S295	PA300S300	PA300S305	ZG300S295	ZG300S300	ZG300S305	TA300S295	TA300S300	TA300S305	RD300Q295	RD300Q300	RD300Q305	PA300Q295	PA300Q300	PA300Q305	ZG300Q295	ZG300Q300	ZG300Q305	TA300Q295	TA300Q300	TA300Q305	STAB295	STAB300	STAB305	S220295	S220300	S220305	Cr	Cb	Cg	Ca
0	CAM5-GCM	0.445985432300134	0.3583327497422736	0.30178646632952094	23361.4375	19815.15625	19816.724609375	10835.166015625	12270.0625	12674.9765625	210.6453094482422	212.44668579101562	222.6385955810547	0.3044488621234149	0.3583327497422736	0.4434125839281958	23361.4375	19815.15625	19816.724609375	10835.166015625	12270.0625	12674.9765625	210.6453094482422	212.44668579101562	222.6385955810547	0.5477739394305973	0.3583327497422736	0.26308255906843836	23361.4375	19815.15625	19816.724609375	10835.166015625	12270.0625	12674.9765625	210.6453094482422	212.44668579101562	222.6385955810547	40.633531170897186	56.94566643796861	57.34165315516293	24.088853388093412	37.81660343520343	57.34165315516293	0.7098039215686275	0.8117647058823529	0.4196078431372549	1.0
1	CAM6-GCM	0.40924710140569026	0.39344030182280054	0.2115701818488961	27539.140625	23365.775390625	23383.966796875	9734.5615234375	11078.7841796875	11524.724609375	217.3567657470703	216.59828186035156	230.2418670654297	0.3413892705953821	0.39344030182280054	0.43416024942858955	23360.462890625	23365.775390625	23383.966796875	10755.4716796875	11078.7841796875	11524.724609375	208.6003875732422	216.59828186035156	230.2418670654297	0.47561662516471226	0.39344030182280054	0.19462885127161775	23360.462890625	23365.775390625	23383.966796875	10755.4716796875	11078.7841796875	11524.724609375	208.6003875732422	216.59828186035156	230.2418670654297	26.613767840899527	39.37206056434661	67.47376755811274	26.613767840899527	39.37206056434661	92.52939489670098	0.807843137254902	0.8588235294117647	0.611764705882353	1.0
2	CM1	0.7556104443428059	0.6534706151533288	0.4789081084637683	26668.70703125	22125.095703125	18713.697265625	10000.0	11500.0	13000.0	217.15499877929688	216.09071350097656	219.4003143310547	0.4938295701532754	0.6534706151533288	0.7171631332156009	24633.833984375	22125.095703125	20214.333984375	10500.0	11500.0	12500.0	212.90892028808594	216.09071350097656	223.10617065429688	0.8376626206571939	0.6534706151533288	0.4045370857336173	22718.4609375	22125.095703125	23495.44140625	11000.0	11500.0	11500.0	208.79859924316406	216.09071350097656	230.793701171875	28.591719456017017	46.15076759364456	85.61076247133315	24.97684326954186	39.724979433231056	85.61076247133315	0.19215686274509805	0.5098039215686274	0.7411764705882353	1.0
3	CNRM-CM6	0.7536761270548233	0.6212405981458762	0.5654032058039963	27259.005859375	22566.701171875	17464.08984375	9799.375	11379.794921875	13508.302734375	216.34130859375	216.96865844726562	216.7525634765625	0.5410446773988924	0.6212405981458762	0.7258242160672768	25600.400390625	22566.701171875	19869.828125	10192.072265625	11379.794921875	12677.7109375	212.9069366455078	216.96865844726562	223.81362915039062	0.7491705506237873	0.6212405981458762	0.3622487317139945	24040.736328125	22566.701171875	21181.931640625	10580.4697265625	11379.794921875	12253.7900390625	209.5560760498047	216.96865844726562	227.3988800048828	21.781929535791278	31.083161593414843	50.23785633966327	18.503822502680123	26.962152332998812	43.631804874166846	0.9058823529411765	0.1607843137254902	0.5411764705882353	1.0
4	DAM	0.6775671465535352	0.6030706120247615	0.52689260818313	24931.706810433512	22409.53859350539	18816.925915460204	10500.0	11500.0	13000.0	213.5900725908917	217.05941261314317	218.0686940887316	0.39772162599524435	0.6030706120247615	0.6624183340366857	24931.706810433512	22409.53859350539	21946.958218197928	10500.0	11500.0	12000.0	213.5900725908917	217.05941261314317	226.30552714977014	0.7831272305211798	0.6030706120247615	0.32768224263709755	22995.663265451425	22409.53859350539	21946.958218197928	11000.0	11500.0	12000.0	209.30414629100756	217.05941261314317	226.30552714977014	26.45474198521141	37.192130253229465	57.393903565033106	20.680618108157717	30.793980892135494	57.393903565033106	0.4	0.7607843137254902	0.6470588235294118	1.0
5	GEOS-GCM	0.7359892260896488	0.5783695561673484	0.33226856532514537	26719.541015625	22680.849609375	16366.1484375	10032.0390625	11431.943359375	14090.5341796875	218.43907165527344	219.452880859375	217.68194580078125	0.44184207280207277	0.5783695561673484	0.5608341252293443	22678.666015625	22680.849609375	19260.201171875	11058.6669921875	11431.943359375	13033.7470703125	209.57081604003906	219.452880859375	226.16317749023438	0.7763752361605761	0.5783695561673484	0.26485349400113395	26719.541015625	22680.849609375	19260.201171875	10032.0390625	11431.943359375	13033.7470703125	218.43907165527344	219.452880859375	226.16317749023438	21.996496070642024	32.38737990614027	72.43101135827601	129656.62479400635	194515.18058776855	473367.3095703125	0.984313725490196	0.5019607843137255	0.4470588235294118	1.0
6	ICON-LEM-CRM	1.1004617165626098	1.0863941758014901	0.9602084793523232	23157.5	20725.775390625	17535.060546875	10947.267578125	11947.267578125	13447.267578125	210.51051330566406	212.8306121826172	215.74090576171875	0.7211122138852141	1.0863941758014901	1.4518291575013125	21334.2890625	20725.775390625	20481.681640625	11447.267578125	11947.267578125	12447.267578125	206.16339111328125	212.8306121826172	224.2414093017578	1.4166171787559299	1.0863941758014901	0.5242634214664154	21334.2890625	20725.775390625	18965.435546875	11447.267578125	11947.267578125	12947.267578125	206.16339111328125	212.8306121826172	219.9844512939453	24.954963009804487	31.45914524793625	49.49062131345272	17.488501907791942	24.082376330625266	42.81612054910511	0.7411764705882353	0.6196078431372549	0.2235294117647059	1.0
7	MESONH	0.5877918230596995	0.4990032136186167	0.4156533806084093	27786.6875	21443.146484375	19450.73828125	9500.0	11500.0	12500.0	220.36166381835938	216.57789611816406	221.834716796875	0.3775745093283951	0.4990032136186167	0.5753510636299146	23728.09375	21443.146484375	22623.71484375	10500.0	11500.0	11500.0	212.16416931152344	216.57789611816406	229.9518280029297	0.5772062576440551	0.4990032136186167	0.31937929113133456	25696.5625	21443.146484375	20991.572265625	10000.0	11500.0	12000.0	216.11585998535156	216.57789611816406	225.8702850341797	26.060608797706664	52.50417743809521	60.89363596402109	26.060608797706664	38.28129265457392	60.89363596402109	0.9019607843137255	0.3333333333333333	0.050980392156862744	1.0
8	MPAS	0.9239395758911663	0.9154806588027038	0.8926051980977896	26410.380859375	23657.869140625	19665.54296875	10000.0	11000.0	12500.0	214.86741638183594	217.49549865722656	216.5068817138672	0.6068251106224669	0.9154806588027038	1.155482209160483	22456.970703125	23657.869140625	22937.857421875	11000.0	11000.0	11500.0	206.3242950439453	217.49549865722656	224.9309844970703	1.1119139012829764	0.9154806588027038	0.5607603497188479	24373.96484375	23657.869140625	21259.404296875	10500.0	11000.0	12000.0	210.4951934814453	217.49549865722656	220.70169067382812	22.408667427953333	28.776010731235147	47.26334009319544	18.816947704181075	24.915143148973584	39.80732581112534	0.5019607843137255	0.6941176470588235	0.8274509803921568	1.0
9	NICAM	0.7465674470027408	0.6651377199235267	0.6139057253176378	23737.8828125	18489.2578125	16331.41015625	10762.830078125	12762.830078125	13962.830078125	212.73890686035156	210.6092071533203	213.88134765625	0.5167969496446636	0.6651377199235267	0.9937684424819933	20835.80078125	18489.2578125	20299.943359375	11562.830078125	12762.830078125	12562.830078125	206.23007202148438	210.6092071533203	225.61297607421875	1.1828061053850565	0.6651377199235267	0.5236614686173371	23737.8828125	18489.2578125	18519.322265625	10762.830078125	12762.830078125	13162.830078125	212.73890686035156	210.6092071533203	220.56312561035156	32.646156614646316	50.07523577660322	60.10582437738776	23.038902145344764	33.35376386530697	46.1098738014698	1.0	1.0	0.2	1.0
