	LABEL	CF295	CF300	CF305	AT295	AT300	AT305	AZ295	AZ300	AZ305	Cr	Cb	Cg	Ca
0	CM1	0.21342219098453055	0.24449096144182322	0.24948814325877033	220.8438262939453	223.06605529785156	222.87533569335938	9.5	10.5	12.0	0.19215686274509805	0.5098039215686274	0.7411764705882353	1.0
1	CM1-VER	0.18197411991283793	0.22412162323956902	0.23710335786049266	224.26681518554688	224.2779541015625	224.39138793945312	9.2	10.4	11.8	0.4196078431372549	0.6823529411764706	0.8392156862745098	1.0
2	CM1-LES	0.23276883756798997	0.2378811190958787	0.22298203768537284	223.01376342773438	222.98094177246094	223.47259521484375	9.2	10.4	11.8	0.6196078431372549	0.792156862745098	0.8823529411764706	1.0
3	DALES	0.019720249999999988	0.027545249999999955	0.02038725	229.45086669921875	218.3026580810547	236.13009643554688	8.5	11.0	11.0	0.4	0.4	0.4	1.0
4	DALES-LES	0.07000102355757117	0.06938023589065255	0.06061718553162005	227.4699249267578	227.14064025878906	226.67279052734375	8.8	10.0	12.0	0.4392156862745098	0.4841298686810369	0.5642155882230956	1.0
5	DALES-damping	0.019948750000000005	0.030073499999999965	0.019694000000000007	229.52622985839844	218.1986846923828	237.01083374023438	8.5	11.0	11.0	0.5490196078431373	0.6351102351026474	0.6740195344975912	1.0
6	DALES-damping-rad-VER	0.026026204427083338	0.02803602430555556	0.023836263020833345	229.17283630371094	229.81126403808594	229.80882263183594	8.4	9.6	11.6	0.8337928323222441	0.8936274509803921	0.8936274270465824	1.0
7	DAM	0.10358710562414263	0.1020558984910837	0.09229595336076818	221.37892022410026	223.36849538911886	223.32911045388673	9.5	10.5	12.0	0.4	0.7607843137254902	0.6470588235294118	1.0
8	ICON-LEM-CRM	0.22211584158415842	0.22553366336633668	0.23304059405940597	222.30316162109375	224.9998016357422	222.00955200195312	9.447267578125	10.447267578125	12.447267578125	0.7411764705882353	0.6196078431372549	0.2235294117647059	1.0
9	ICON-LEM-VER	0.2062049504950495	0.20427821782178218	0.21071818181818183	225.55882263183594	224.35755920410156	224.51803588867188	9.1633154296875	10.5571279296875	12.1571279296875	0.9058823529411765	0.7294117647058823	0.3215686274509804	1.0
10	ICON-LEM-LES	0.23622431683168324	0.23510950495049504	0.23635421782178206	223.03524780273438	223.63735961914062	223.18386840820312	9.3597822265625	10.5571279296875	12.1571279296875	0.9058823529411765	0.796078431372549	0.5803921568627451	1.0
11	ICON-NWP-CRM	0.23863267326732673	0.23040594059405942	0.2431465346534654	222.51986694335938	224.2554168701172	224.47776794433594	8.947267578125	9.947267578125	11.447267578125	0.5490196078431373	0.42745098039215684	0.19215686274509805	1.0
12	MESONH	0.16973000000000002	0.15567100000000006	0.150671	226.25698852539062	227.98715209960938	228.13694763183594	8.5	9.5	11.0	0.9019607843137255	0.3333333333333333	0.050980392156862744	1.0
13	MESONH-VER	0.16280700000000004	0.15427000000000002	0.15218799999999996	227.01943969726562	226.71556091308594	227.25601196289062	8.6	9.8	11.2	0.9921568627450981	0.5529411764705883	0.23529411764705882	1.0
14	SAM-CRM	0.15695933052112024	0.15968186839990822	0.14998708677685946	219.5148162841797	221.95697021484375	222.361083984375	9.5	10.5	12.0	0.6784313725490196	0.28627450980392155	0.2901960784313726	1.0
15	SCALE	0.10344509548611114	0.10730034722222216	0.10299696180555554	220.63699340820312	217.46409606933594	221.31370544433594	9.0	10.5	11.5	0.10588235294117647	0.6196078431372549	0.4666666666666667	1.0
16	UCLA-CRM	0.06369222343446938	0.07934861197700191	0.06205352504156274	217.76385498046875	216.56356811523438	217.8958282470703	11.0	12.5	14.0	1.0	0.9294117647058824	0.43529411764705883	1.0
17	UKMO-CASIM	0.08754399999999997	0.072796	0.052135999999999995	219.04165649414062	218.90731811523438	221.82449340820312	9.875	11.125	12.375	0.6470588235294118	0.3176470588235294	0.5803921568627451	1.0
18	UKMO-RA1-T-hrad	0.095855	0.08434399999999995	0.071856	221.29683350209055	221.8825289781679	227.37295790336753	9.375	10.625	11.625	0.807843137254902	0.42745098039215684	0.7411764705882353	1.0
19	UKMO-RA1-T	0.11386900000000004	0.096186	0.07251900000000001	219.76611527037542	219.65452244183498	224.42792608604617	9.625	11.125	12.375	0.8705882352941177	0.6196078431372549	0.8392156862745098	1.0
20	UKMO-RA1-T-nocloud	0.10847499999999993	0.09848300000000001	0.08171000000000003	219.70472717285156	220.02732849121094	222.9551239013672	9.625	10.875	12.125	0.8901960784313725	0.4666666666666667	0.7607843137254902	1.0
21	WRF-COL-CRM	0.19755433119069488	0.2035968268544028	0.22012932353841452	219.80857849121094	219.88108825683594	221.51748657226562	10.33676171875	11.6056259765625	12.9721923828125	0.2235294117647059	0.23137254901960785	0.4745098039215686	1.0
