,Model,Zavg,Zrng,Zdif,Tavg,Trng,Tdif,Color
0,CM1,949.845893607416,390.274004313816,351.75320115325195,818.9419307478423,59.51921862360916,0.0027835438884835,[0.19215686 0.50980392 0.74117647 1.        ]
1,DAM,701.9854989553103,241.730515333601,217.87128304590328,669.2009586616765,92.21800602521702,20.0349666269936,[0.4        0.76078431 0.64705882 1.        ]
2,ICON-LEM-CRM,707.6501900744836,256.0491218867433,253.65360920546703,633.3762158012817,57.6113371098397,2.0873412770538797,[0.74117647 0.61960784 0.22352941 1.        ]
3,ICON-NWP-CRM,551.7616595738152,216.5506325762029,161.7077830353953,521.6223553913976,58.67699016605064,5.891407959914019,[0.54901961 0.42745098 0.19215686 1.        ]
4,MESONH,880.9937522545341,471.3073686799989,447.42512207067927,817.658300180948,209.42961307677416,26.671516577879046,[0.90196078 0.33333333 0.05098039 1.        ]
5,NICAM,782.6595636033265,603.9836298347078,603.9836298347078,768.8932116457855,153.7739300537608,-130.65927564589867,[1.  1.  0.2 1. ]
6,SAM-CRM,881.7594458505434,400.3792739105911,400.3792739105911,719.9102183862993,116.79622353425609,-57.52678060618537,[0.67843137 0.28627451 0.29019608 1.        ]
7,SAM-GCRM,342.4313980708075,513.4851662020551,510.3954207522343,386.44856649715,180.00012879816154,61.7257233514111,[0.51764706 0.23529412 0.22352941 1.        ]
8,SCALE,725.0105510651039,260.2618416743562,252.7483099062093,745.5437792079332,88.22811251713688,-45.50968301325732,[0.10588235 0.61960784 0.46666667 1.        ]
9,UKMO-CASIM,411.02410728940856,348.95791748358675,341.67456166203243,492.2122133682832,68.93441117714522,-58.10114383842019,[0.64705882 0.31764706 0.58039216 1.        ]
10,UKMO-RA1-T,804.3831149930861,228.6610381392611,222.89026135154137,656.2194879116107,151.3608583600121,-148.84254073141855,[0.80784314 0.42745098 0.74117647 1.        ]
11,UKMO-RA1-T-nocloud,959.721944127693,231.5514264790102,82.0044952188835,989.8389286929564,269.31790550324,-209.39651180923352,[0.89019608 0.46666667 0.76078431 1.        ]
12,WRF-COL-CRM,768.3047537854036,483.2622354836766,426.5183056034522,687.2614640715774,118.66380152669382,59.01081979919272,[0.22352941 0.23137255 0.4745098  1.        ]
