	Model	Zavg	Zrng	Zdif	Tavg	Trng	Tdif	Color
0	CM1	-1.8181635162457868	0.720655110924524	-0.520244558195219	-1.626018891486947	0.08025113199876698	-0.048506606923683145	[0.19215686 0.50980392 0.74117647 1.        ]
1	DAM	-1.0995896019162876	0.7716999317922324	-0.7716999317922324	-0.9276543468594011	0.07908483966483892	-0.057629317062939334	[0.4        0.76078431 0.64705882 1.        ]
2	ICON-LEM-CRM	-0.9123881581578758	0.6107102712154886	-0.5571261522867262	-0.804493553095693	0.0703237172600476	-0.05459304453929325	[0.74117647 0.61960784 0.22352941 1.        ]
3	ICON-NWP-CRM	-0.9367349080325132	0.7172346957260505	-0.6493984944528959	-0.8352845469161672	0.19826418594182801	0.030853322399850853	[0.54901961 0.42745098 0.19215686 1.        ]
4	MESONH	-0.00253258876372609	0.0014335128932884257	-0.0009338230187549694	-0.002681022446271422	0.0010770662246006005	0.0007223925379496456	[0.90196078 0.33333333 0.05098039 1.        ]
5	NICAM	-1.2321057932434942	1.3035256638574144	-1.3035256638574144	-1.2130713083724998	0.12003879913069392	-0.031244401112402787	[1.  1.  0.2 1. ]
6	SAM-CRM	-1.3633347538326743	0.6858577549233301	-0.6847555405507696	-1.1560759449191604	0.1909977509055556	-0.05454982400145643	[0.67843137 0.28627451 0.29019608 1.        ]
7	SAM-GCRM	-1.1605986235959544	0.7481424793981962	-0.7215996269672623	-1.3321168053615968	0.4368429114476106	0.21139050964909287	[0.51764706 0.23529412 0.22352941 1.        ]
8	SCALE	-1.3980898819545295	0.8751013145450539	-0.8751013145450539	-1.4658991615665249	0.08632314565213813	-0.08133724069706665	[0.10588235 0.61960784 0.46666667 1.        ]
9	UKMO-CASIM	-0.6905282397630327	0.8364166314525056	-0.8364166314525056	-0.8029420500647158	0.10763730282701456	-0.05689835021631399	[0.64705882 0.31764706 0.58039216 1.        ]
10	UKMO-RA1-T	-1.3663461919327715	1.0946903783501039	-1.0942282380868744	-0.8869833848464076	0.07027257244119489	0.01938056677568666	[0.80784314 0.42745098 0.74117647 1.        ]
11	UKMO-RA1-T-nocloud	-1.4924547987025916	1.2772463823542755	-1.2772463823542755	-1.5009192641833426	0.2717611365760484	-0.07411992602427715	[0.89019608 0.46666667 0.76078431 1.        ]
12	WRF-COL-CRM	-1.4978038902493251	0.8399980043194791	-0.5122522327875038	-1.3796799542896765	0.20462472311348587	-0.1295070384847925	[0.22352941 0.23137255 0.4745098  1.        ]
