	Model	Zavg	Zrng	Zdif	Trng	Tdif	Color
0	CM1	0.0366993663588615	0.06175180037041171	-0.06175180037041171	0.013220028834370791	-0.008019172394280433	[0.19215686 0.50980392 0.74117647 1.        ]
1	DAM	0.031283967580535775	0.03147866984164979	-0.03147866984164979	0.002238209306540508	0.0013332977133768324	[0.4        0.76078431 0.64705882 1.        ]
2	ICON-LEM-CRM	0.05954379794368694	0.06156297663791934	-0.06156297663791934	0.014364063561209367	0.00662960460360355	[0.74117647 0.61960784 0.22352941 1.        ]
3	ICON-NWP-CRM	0.08955970394003973	0.09076469406271163	-0.08941305005502728	0.02449869141074942	-0.0002790374267610814	[0.54901961 0.42745098 0.19215686 1.        ]
4	MESONH	0.03422113389756944	0.024950201822916657	-0.024950201822916657	0.012631303246898476	0.007582931085189655	[0.90196078 0.33333333 0.05098039 1.        ]
5	NICAM	0.08517140093805131	0.035757993009249596	-0.03531817697938306	0.03654291655650319	0.02253061929212831	[1.  1.  0.2 1. ]
6	SAM-CRM	0.025595141072334772	0.027742439084606708	-0.027742439084606708	0.005282860252871052	-0.003923812586742403	[0.67843137 0.28627451 0.29019608 1.        ]
7	SAM-GCRM	0.05119529621594833	0.06744979617282769	-0.06744979617282769	0.015858318814853587	-0.015858318814853587	[0.51764706 0.23529412 0.22352941 1.        ]
8	SCALE	0.027612078984578448	0.04930935859680176	-0.04930935859680176	0.002608295624730235	-0.002606452095966949	[0.10588235 0.61960784 0.46666667 1.        ]
9	UKMO-CASIM	0.06614933540931804	0.0640959218612213	-0.0640959218612213	0.04210676958941123	-0.04210676958941123	[0.64705882 0.31764706 0.58039216 1.        ]
10	UKMO-RA1-T	0.04035461415995271	0.03958663394861311	-0.03958663394861311	0.01813668819725277	-0.01813668819725277	[0.80784314 0.42745098 0.74117647 1.        ]
11	UKMO-RA1-T-nocloud	0.06083670995609421	0.06104774980070535	-0.06104774980070535	0.027716009020450117	-0.027716009020450117	[0.89019608 0.46666667 0.76078431 1.        ]
12	WRF-COL-CRM	0.046148825892924385	0.03368601951631369	-0.03355441924658302	0.010885012411834224	0.009071436270647033	[0.22352941 0.23137255 0.4745098  1.        ]
