	Model	Zavg	Zrng	Zdif	Trng	Tdif	Color
0	CAM5-GCM	0.1274251431898255	0.06990907661946644	-0.06497037501783785	0.056571364672799995	-0.04817705864702525	[0.70980392 0.81176471 0.41960784 1.        ]
1	CAM6-GCM	0.15734153601902148	0.1030611853791968	-0.10050630233181868	0.09521727692098672	-0.08476536774835042	[0.80784314 0.85882353 0.61176471 1.        ]
2	CNRM-CM6	0.0820762674703147	0.052135160962363834	-0.052135160962363834	0.02038969132506626	-0.018967963715272547	[0.90588235 0.16078431 0.54117647 1.        ]
3	ECHAM6-GCM	0.05889195785289481	0.028351909554745224	-0.01795336380190748	0.035821722229438864	0.035821722229438864	[0.83921569 0.15294118 0.15686275 1.        ]
4	GEOS-GCM	0.06968238288151127	0.1188416707731807	-0.1188416707731807	0.06823857488868308	-0.06675733631064598	[0.98431373 0.50196078 0.44705882 1.        ]
5	ICON-GCM	0.1178950099160395	0.1196767555629154	-0.1196767555629154	0.020774379326524695	-0.020774379326524695	[0.54901961 0.3372549  0.29411765 1.        ]
6	IPSL-CM6	0.04358081038877248	0.05041213220340327	-0.05041213220340327	0.008598997979962348	-0.008357823982136834	[0. 0. 0. 1.]
7	SAM0-UNICON	0.11301675291892715	0.25271225256182145	-0.25271225256182145	0.08563910374563845	-0.08563910374563845	[0.54901961 0.63529412 0.32156863 1.        ]
8	SP-CAM	0.06121622252309407	0.0482787119506638	-0.0482787119506638	0.008281285100133264	-0.005488606437908536	[0.09019608 0.74509804 0.81176471 1.        ]
9	SPX-CAM	0.06076906922226174	0.05928391987068432	-0.05928391987068432	0.010640486370234107	-0.007601523792190951	[0.61960784 0.85490196 0.89803922 1.        ]
10	UKMO-GA7.1	0.10622368777773643	0.1324490878257948	-0.13133711100140943	0.06044302267332949	-0.06044302267332949	[0.48235294 0.25490196 0.45098039 1.        ]
11	WRF-GCM-cps0	0.0800829826287623	0.12128563571345898	-0.12097532523994364	0.00771286448888026	-0.00038828666126675647	[0.41960784 0.43137255 0.81176471 1.        ]
12	WRF-GCM-cps1	0.09622318493593991	0.15621096959140457	-0.15621096959140457	0.02507317342955708	0.022338667385350515	[0.61176471 0.61960784 0.87058824 1.        ]
13	WRF-GCM-cps2	0.10534972886909368	0.14664892139983876	-0.1433071956459532	0.012799626805270114	-0.011809393795746114	[0.45882353 0.41960784 0.69411765 1.        ]
14	WRF-GCM-cps3	0.07768356297223643	0.12004230340775779	-0.12004230340775779	0.009224410495973315	0.005243160299745617	[0.61960784 0.60392157 0.78431373 1.        ]
15	WRF-GCM-cps4	0.1203318603431005	0.20542404057339586	-0.20542404057339586	0.020171884489063523	0.012652823119592715	[0.7372549  0.74117647 0.8627451  1.        ]
16	WRF-GCM-cps6	0.10105318057627893	0.18720995439961455	-0.18720995439961455	0.05128019941942971	-0.05113178728759098	[0.85490196 0.85490196 0.92156863 1.        ]
