	Model	Zavg	Zrng	Zdif	Tavg	Trng	Tdif	Color
0	CM1	0.4954065987435399	0.028069807492877154	0.013811004566489843	0.49587265983689405	0.04209394249325674	0.008169284339105179	[0.19215686 0.50980392 0.74117647 1.        ]
1	DAM	0.3985793494703096	0.04282845478714235	-0.0023126040241926923	0.40426022339555134	0.02624929574377674	0.019182888121560715	[0.4        0.76078431 0.64705882 1.        ]
2	ICON-LEM-CRM	0.4430353972557279	0.18238714399261016	0.17692478899474595	0.4309226264798953	0.16019642151784177	0.16019642151784177	[0.74117647 0.61960784 0.22352941 1.        ]
3	ICON-NWP-CRM	0.4490023219655212	0.2097000640944303	0.2097000640944303	0.4425415396781663	0.20170404365433417	0.20170404365433417	[0.54901961 0.42745098 0.19215686 1.        ]
4	MESONH	0.16067877137099612	0.11742924108441577	-0.11606634842084176	0.15746769958178458	0.034297943726329556	0.012903073338668343	[0.90196078 0.33333333 0.05098039 1.        ]
5	NICAM	0.20271416100812523	0.06673455195545686	-0.06552869193559506	0.20825811122291865	0.05837228482550734	0.027777812080654673	[1.  1.  0.2 1. ]
6	SAM-CRM	0.2827140181981142	0.029637225827310272	0.011947052162244148	0.2745871549411797	0.03511400118377979	-0.018263079487257704	[0.67843137 0.28627451 0.29019608 1.        ]
7	SAM-GCRM	0.2871629743477133	0.08055234666128507	0.05422867114947154	0.29968535243180583	0.05894394355590174	0.004107562081224208	[0.51764706 0.23529412 0.22352941 1.        ]
8	SCALE	0.4476729847788907	0.05665793704831742	-0.044594180663687755	0.4462899941912233	0.03728891487287265	0.02745844481408055	[0.10588235 0.61960784 0.46666667 1.        ]
9	UKMO-CASIM	0.516431271960104	0.2214519871454301	-0.1402888002696082	0.4967046001062695	0.11949960512699244	0.11285632071506889	[0.64705882 0.31764706 0.58039216 1.        ]
10	UKMO-RA1-T	0.2701281379114384	0.06655999321688948	-0.045143664177968015	0.2646864035517608	0.06389023427904589	-0.04116526955061723	[0.80784314 0.42745098 0.74117647 1.        ]
11	UKMO-RA1-T-nocloud	0.31400501344905807	0.06304203019980642	-0.017306659105210745	0.3298866538872888	0.12972744425923843	-0.1248192908187851	[0.89019608 0.46666667 0.76078431 1.        ]
12	WRF-COL-CRM	0.5032627675488357	0.11755121606267878	0.10588975631671495	0.4836256042958129	0.047472548800766005	0.0348760080464544	[0.22352941 0.23137255 0.4745098  1.        ]
