	LABEL	CF295	CF300	CF305	AT295	AT300	AT305	AZ295	AZ300	AZ305	Cr	Cb	Cg	Ca
0	CM1	0.5943130254745483	0.5683075189590454	0.5483140349388123	207.37881469726562	209.86294555664062	210.00802612304688	11.0	12.0	13.5	0.19215686274509805	0.5098039215686274	0.7411764705882353	1.0
1	CM1-VER	0.4806792736053467	0.47052183747291565	0.4881868064403534	212.671630859375	213.08384704589844	212.02784729003906	10.399999618530273	11.600000381469727	13.199999809265137	0.4196078431372549	0.6823529411764706	0.8392156862745098	1.0
2	CM1-LES	0.5144355893135071	0.483242392539978	0.4415159523487091	212.08135986328125	215.8623046875	214.86732482910156	10.399999618530273	11.199999809265137	12.800000190734863	0.6196078431372549	0.792156862745098	0.8823529411764706	1.0
3	DALES	0.15193645656108856	0.28522711992263794	0.033342644572257996	207.22280883789062	216.97145080566406	235.44773864746094	11.0	11.0	11.0	0.4	0.4	0.4	1.0
4	DALES-VER	0.12226081639528275	0.26945173740386963	0.13867823779582977	221.826171875	223.1741943359375	227.70614624023438	9.600000381469727	11.0	12.399999618530273	0.32941176470588235	0.33314950225942647	0.4544116419486	1.0
5	DALES-LES	0.25890737771987915	0.2938770651817322	0.1452958583831787	211.66163635253906	218.30126953125	220.3876495361328	10.399999618530273	11.0	12.800000190734863	0.4392156862745098	0.4841298686810369	0.5642155882230956	1.0
6	DALES-damping	0.15901429951190948	0.42200419306755066	0.030183734372258186	207.13002014160156	216.119384765625	237.0807342529297	11.0	11.0	11.0	0.5490196078431373	0.6351102351026474	0.6740195344975912	1.0
7	DALES-damping-VER	0.10399967432022095	0.07953779399394989	0.040711164474487305	204.4854736328125	214.5599822998047	218.75637817382812	11.199999809265137	11.199999809265137	13.199999809265137	0.662224143106496	0.7838235294117647	0.7838234807720867	1.0
8	DALES-damping-rad-VER	0.053898002952337265	0.0642884373664856	0.034264832735061646	219.90374755859375	214.1085662841797	229.29193115234375	9.199999809265137	11.199999809265137	11.600000381469727	0.8337928323222441	0.8936274509803921	0.8936274270465824	1.0
9	DAM	0.24493195984479002	0.2074924728826905	0.1743043068574404	211.1971287770738	213.52340959668715	214.22351778792543	10.5	11.5	13.0	0.4	0.7607843137254902	0.6470588235294118	1.0
