,LABEL,CF295,CF300,CF305,AT295,AT300,AT305,AZ295,AZ300,AZ305,Cr,Cb,Cg,Ca
0,CAM5-GCM,0.32334986329078674,0.23129117488861084,0.1709478497505188,219.6098480224609,221.1432342529297,222.6385955810547,9.8034086227417,11.228930473327637,12.674976348876953,0.7098039215686275,0.8117647058823529,0.4196078431372549,1.0
1,CAM6-GCM,0.3369196951389313,0.2437342554330825,0.8218713998794556,217.3567657470703,216.5982818603516,205.597412109375,9.734561920166016,11.078783988952637,18.682247161865234,0.807843137254902,0.8588235294117647,0.611764705882353,1.0
2,CNRM-CM6,0.15619373321533206,0.13401393592357635,0.13072822988033295,200.72674560546875,201.5649871826172,210.05191040039062,11.72437858581543,13.343101501464846,14.321413040161133,0.9058823529411764,0.1607843137254902,0.5411764705882353,1.0
3,ECHAM6-GCM,0.14148755371570587,0.17937733232975006,0.17938226461410522,205.9693756103516,207.6791534423828,207.3282470703125,11.519235610961914,12.747236251831055,15.306648254394533,0.8392156862745098,0.15294117647058825,0.1568627450980392,1.0
4,GEOS-GCM,0.2734719216823578,0.2314104288816452,0.14732789993286133,218.43907165527344,219.452880859375,209.7949523925781,10.032038688659668,11.4319429397583,15.106400489807127,0.984313725490196,0.5019607843137255,0.4470588235294118,1.0
5,ICON-GCM,0.21842439472675326,0.15688329935073853,0.2640410959720612,206.4932403564453,213.5041656494141,205.60348510742188,10.735112708672796,11.492020580269015,14.846896350450113,0.5490196078431373,0.33725490196078434,0.29411764705882354,1.0
6,IPSL-CM6,0.08137980103492737,0.07988279312849045,0.07402215898036958,221.40008544921875,224.875,225.19618225097656,9.724681854248047,11.21446704864502,13.09373664855957,0.0,0.0,0.0,1.0
7,SAM0-UNICON,0.2897408604621887,0.1790832281112671,0.15954774618148804,210.5600128173828,205.29293823242188,208.73931884765625,10.85995388031006,13.309060096740724,14.815138816833494,0.5490196078431373,0.6352941176470588,0.3215686274509804,1.0
8,SP-CAM,0.16897718608379364,0.16581837832927704,0.1565825492143631,219.71383666992188,220.11334228515625,222.9665679931641,9.97561264038086,11.34323501586914,12.81088638305664,0.09019607843137256,0.7450980392156863,0.8117647058823529,1.0
9,SPX-CAM,0.19209551811218264,0.1785174310207367,0.16374896466732025,221.49485778808602,215.61817932128903,219.36129760742188,10.031517028808594,12.525384902954102,14.023085594177244,0.6196078431372549,0.8549019607843137,0.8980392156862745,1.0
