	LABEL	CF295	CF300	CF305	AT295	AT300	AT305	AZ295	AZ300	AZ305	Cr	Cb	Cg	Ca
0	CM1	0.6173225398232789	0.5151501890594177	0.42236923585748765	201.56663513183594	208.2220916748047	219.40316772460938	12.0	12.5	13.0	0.19215686274509805	0.5098039215686274	0.7411764705882353	1.0
1	DAM	0.9899999732081619	0.99	0.9900990099009901	199.36962599953952	204.57280723336905	210.87123250037553	18.0	19.5	21.5	0.4	0.7607843137254902	0.6470588235294118	1.0
2	FV3	0.48755682668378275	0.5053932436050907	0.6640130319902974	203.76914978027344	207.0518341064453	207.3577423095703	12.5024296875	13.9170810546875	15.953072265625	0.7372549019607844	0.7411764705882353	0.13333333333333333	1.0
3	ICON-LEM-CRM	0.7425885916949901	0.7838822964385991	0.7266991281217674	202.10997009277344	204.4739532470703	207.63766479492188	11.947267578125	12.947267578125	14.447267578125	0.7411764705882353	0.6196078431372549	0.2235294117647059	1.0
4	ICON-NWP-CRM	0.44307495936160773	0.5108482710211321	0.4806279370474362	200.25270080566406	200.64834594726562	203.41241455078125	11.947267578125	12.947267578125	14.447267578125	0.5490196078431373	0.42745098039215684	0.19215686274509805	1.0
5	MESONH	0.9998537890625001	0.9766834765624998	0.9084501562499995	200.33868408203125	200.57843017578125	206.6361846923828	13.5	15.0	15.0	0.9019607843137255	0.3333333333333333	0.050980392156862744	1.0
6	MPAS	0.3626839017235057	0.3750428615083729	0.3121346167950129	202.2852020263672	211.23590087890625	204.06907653808594	11.5	12.0	14.0	0.5019607843137255	0.6941176470588235	0.8274509803921568	1.0
7	NICAM	1.0	1.0	1.0	250.34344482421875	247.3011474609375	249.5290069580078	6.36283203125	8.3628271484375	9.5628251953125	1.0	1.0	0.2	1.0
8	SAM-CRM	0.1449420664570119	0.11850851833230198	0.10665466761825108	209.10720825195312	214.6761474609375	218.67257690429688	11.0	12.0	13.5	0.6784313725490196	0.28627450980392155	0.2901960784313726	1.0
9	SAM-GCRM	0.1852980606799929	0.13221955162016938	0.10940609984392534	210.35765075683594	221.38931274414062	216.3524627685547	11.0	11.5	14.0	0.5176470588235295	0.23529411764705882	0.2235294117647059	1.0
10	SCALE	0.6216775512695313	0.5386634063720703	0.44933868408203126	202.27175903320312	205.92430114746094	208.4533233642578	11.5	12.5	14.0	0.10588235294117647	0.6196078431372549	0.4666666666666667	1.0
11	UCLA-CRM	0.9999462750269481	0.9999532538151746	0.9999479514956287	248.77456665039062	249.0480194091797	247.2566375732422	7.5	9.0	11.0	1.0	0.9294117647058824	0.43529411764705883	1.0
12	UKMO-CASIM	0.5405470127865962	0.4465399029982364	0.3586714271935628	220.52572631835938	219.98341369628906	224.4673614501953	9.875	11.375	12.625	0.6470588235294118	0.3176470588235294	0.5803921568627451	1.0
13	UKMO-RA1-T	0.9887643986992952	0.893720065861993	0.9917550567680777	199.249189211168	201.58257908693042	204.286946750948	12.625	14.131699999999976	16.651284999999973	0.807843137254902	0.42745098039215684	0.7411764705882353	1.0
14	UKMO-RA1-T-nocloud	0.9089647059634038	0.8790020116843033	0.9936976755401236	202.97640991210938	204.51553344726562	203.5959014892578	12.125	13.6257529296875	16.651279296875	0.8901960784313725	0.4666666666666667	0.7607843137254902	1.0
15	WRF-COL-CRM	0.3445786803176024	0.28930690909364476	0.2602218778562215	203.9202880859375	212.95864868164062	211.14027404785156	12.1890478515625	12.5865771484375	14.5224326171875	0.2235294117647059	0.23137254901960785	0.4745098039215686	1.0
