	Model	Zavg	Zrng	Zdif	Tavg	Trng	Tdif	Color
0	CM1	0.039396890622249124	0.054013886986846414	-0.054013886986846414	0.06686817374707239	0.016229180768632754	0.013891374991986507	[0.19215686 0.50980392 0.74117647 1.        ]
1	DAM	0.025692701030222538	0.0284192022953262	-0.0284192022953262	0.032868219845801384	0.004095471178317715	0.0007125288021535331	[0.4        0.76078431 0.64705882 1.        ]
2	ICON-LEM-CRM	0.05783032505366479	0.038882239631411054	-0.0355597010694456	0.0804741384923939	0.04361168096230588	0.04024662054694594	[0.74117647 0.61960784 0.22352941 1.        ]
3	ICON-NWP-CRM	0.10702180777236453	0.09017660985254528	-0.08263450027676868	0.12897385419956628	0.04271027980060852	0.026103867517955733	[0.54901961 0.42745098 0.19215686 1.        ]
4	MESONH	0.017538112681663963	0.012101762441931693	-0.008046848772917581	0.022325141543490738	0.01168799005820112	0.005376209969935125	[0.90196078 0.33333333 0.05098039 1.        ]
5	NICAM	0.11208701906108656	0.12748810753980608	-0.12748810753980608	0.11403606267170761	0.02638004185419789	-0.023843070907052594	[1.  1.  0.2 1. ]
6	SAM-CRM	0.021158017678551678	0.028882932356140263	-0.028882932356140263	0.02771175516558927	0.009550869382319024	-0.009550869382319024	[0.67843137 0.28627451 0.29019608 1.        ]
7	SAM-GCRM	0.052151354470520286	0.10883140797141953	-0.06853177151010575	0.05026774441860315	0.017843857894239774	0.005000377952168627	[0.51764706 0.23529412 0.22352941 1.        ]
8	SCALE	0.03092407336852726	0.05201674804400384	-0.05201674804400384	0.02855521693409908	0.0019164299035928029	-0.0003756248258436317	[0.10588235 0.61960784 0.46666667 1.        ]
9	UKMO-CASIM	0.09867920555436485	0.0949729786586569	-0.09022592378922782	0.09069548518434219	0.05652838265696003	-0.015768545647697186	[0.64705882 0.31764706 0.58039216 1.        ]
10	UKMO-RA1-T	0.04079240939543653	0.03143888709365157	-0.03143888709365157	0.04535878354555649	0.01933264398219325	-0.01933264398219325	[0.80784314 0.42745098 0.74117647 1.        ]
11	UKMO-RA1-T-nocloud	0.054128153110685584	0.01824486824396127	-0.0125845147392114	0.0682852246213555	0.062313408592889	-0.062313408592889	[0.89019608 0.46666667 0.76078431 1.        ]
12	WRF-COL-CRM	0.07892326298474171	0.05760991105013196	-0.05760991105013196	0.10718539298356348	0.04800665780081609	0.045672803064555144	[0.22352941 0.23137255 0.4745098  1.        ]
