	LABEL	RDFULL295	RDFULL300	RDFULL305	PAFULL295	PAFULL300	PAFULL305	ZGFULL295	ZGFULL300	ZGFULL305	TAFULL295	TAFULL300	TAFULL305	RD300S295	RD300S300	RD300S305	PA300S295	PA300S300	PA300S305	ZG300S295	ZG300S300	ZG300S305	TA300S295	TA300S300	TA300S305	RD300Q295	RD300Q300	RD300Q305	PA300Q295	PA300Q300	PA300Q305	ZG300Q295	ZG300Q300	ZG300Q305	TA300Q295	TA300Q300	TA300Q305	STAB295	STAB300	STAB305	S220295	S220300	S220305	Cr	Cb	Cg	Ca
0	CAM5-GCM	1.31090973486964	1.4852940719572587	1.8234612200421236	23366.783203125	19814.51953125	16824.78515625	10677.171875	12116.1630859375	13545.9931640625	205.17886352539062	207.10794067382812	208.01348876953125	0.988833683446378	1.4852940719572587	2.112532572014502	23366.783203125	19814.51953125	19814.51953125	10677.171875	12116.1630859375	12526.74609375	205.17886352539062	207.10794067382812	217.65277099609375	2.0179474412517373	1.4852940719572587	1.0979378369244392	23366.783203125	19814.51953125	19814.51953125	10677.171875	12116.1630859375	12526.74609375	205.17886352539062	207.10794067382812	217.65277099609375	15.122932381927967	15.908040222711861	16.570190200582147	14.88652778789401	12.133284326409921	13.879005564376712	0.7098039215686275	0.8117647058823529	0.4196078431372549	1.0
1	CAM6-GCM	0.7995016353074431	1.0609368403578188	0.4014922282761189	23366.783203125	23366.783203125	16824.78515625	10655.0302734375	11045.6748046875	13391.4052734375	205.15621948242188	214.3060760498047	206.71148681640625	0.7364889239342814	1.0609368403578188	1.1641966719017236	23366.783203125	23366.783203125	19814.51953125	10655.0302734375	11045.6748046875	12381.2216796875	205.15621948242188	214.3060760498047	215.0117950439453	1.1889309701975934	1.0609368403578188	0.4476413083937935	23366.783203125	23366.783203125	19814.51953125	10655.0302734375	11045.6748046875	12381.2216796875	205.15621948242188	214.3060760498047	215.0117950439453	36.16386675275862	18.193326832260936	59.107562992721796	1659.86567735672	16.230784240178764	44.060967047698796	0.807843137254902	0.8588235294117647	0.611764705882353	1.0
2	CM1	1.449548437767706	1.3609342981725754	1.2265818342613433	24590.974609375	22033.587890625	18459.57421875	10500.0	11500.0	13000.0	211.7999267578125	214.19357299804688	214.20440673828125	0.8077911848107151	1.3609342981725754	1.6194634071070924	22667.8359375	22033.587890625	21580.576171875	11000.0	11500.0	12000.0	207.37881469726562	214.19357299804688	222.87496948242188	1.8793182229844678	1.3609342981725754	0.6350911336571098	22667.8359375	22033.587890625	21580.576171875	11000.0	11500.0	12000.0	207.37881469726562	214.19357299804688	222.87496948242188	20.60624392470345	28.32926984410733	41.964411502704024	16.072994912974536	23.624973255209625	34.67351198196411	0.19215686274509805	0.5098039215686274	0.7411764705882353	1.0
3	CM1-VER	1.5979829723632046	1.2994557834612948	1.4217037344044612	23417.85546875	21667.01171875	19026.091796875	10800.0	11600.0	12800.0	209.05624389648438	213.08384704589844	215.4522705078125	0.821355271691363	1.2994557834612948	1.9067224120217134	23417.85546875	21667.01171875	21553.59765625	10800.0	11600.0	12000.0	209.05624389648438	213.08384704589844	222.43016052246094	2.7397539748622664	1.2994557834612948	0.7066306480273755	22662.32421875	21667.01171875	19636.068359375	11000.0	11600.0	12600.0	207.2802276611328	213.08384704589844	217.19215393066406	21.118174481671304	27.554153348319232	36.14691668190062	16.46294113015756	23.15259480383247	31.567970290780067	0.4196078431372549	0.6823529411764706	0.8392156862745098	1.0
4	CM1-LES	1.644349756813	1.4505633432640734	1.3104532769940644	23404.80078125	20960.03125	19024.166015625	10800.0	11800.0	12800.0	208.43179321289062	210.46559143066406	214.86732482910156	0.9839670641533116	1.4505633432640734	2.4801510908829276	21908.3125	20960.03125	20902.638671875	11200.0	11800.0	12200.0	204.85397338867188	210.46559143066406	220.12908935546875	2.9241104870639436	1.4505633432640734	0.8520150076924762	22647.435546875	20960.03125	20902.638671875	11000.0	11800.0	12200.0	206.62811279296875	210.46559143066406	220.12908935546875	18.054511747322977	24.187586677726358	33.74280349817127	13.804150512441993	19.295122183393687	29.77128606289625	0.6196078431372549	0.792156862745098	0.8823529411764706	1.0
5	CNRM-CM6	1.3255144701625756	1.0880068370910154	0.8254184671226946	25607.083984375	21185.720703125	17471.8671875	10103.5048828125	11615.609375	13256.1318359375	209.9727020263672	208.5549774169922	209.4293670654297	0.6487886244096359	1.0880068370910154	1.7111605575265691	22583.93359375	21185.720703125	19873.826171875	10866.037109375	11615.609375	12451.58203125	203.1192169189453	208.5549774169922	216.4080810546875	1.9636113479102226	1.0880068370910154	0.5303335215651617	24057.46875	21185.720703125	21185.720703125	10486.8544921875	11615.609375	12042.9794921875	206.4875946044922	208.5549774169922	219.92019653320312	14.809764979872853	24.954884429462254	41.3212546845898	13.493407459463924	20.469607261475176	34.16614781599492	0.9058823529411765	0.1607843137254902	0.5411764705882353	1.0
6	DAM	1.1676329064961766	1.0202957541972897	0.8171870922434838	24598.8170920306	22020.20241347114	18478.484094712738	10500.0	11500.0	13000.0	211.1971287770738	213.52340959668715	214.22351778792543	0.5907509466944669	1.0202957541972897	1.2784296228394836	22666.988219273288	22020.20241347114	21607.153426037374	11000.0	11500.0	12000.0	206.7627127481789	213.52340959668715	222.91639035991108	1.5821891059242974	1.0202957541972897	0.44170288670261315	24598.8170920306	22020.20241347114	19997.238214699686	10500.0	11500.0	12500.0	211.1971287770738	213.52340959668715	218.55108445091284	18.91779635656798	25.373830805560672	41.56803288597348	13.284610930473171	20.70941565461765	33.974358865749466	0.4	0.7607843137254902	0.6470588235294118	1.0
7	GEOS-GCM	0.6309103059054844	1.0226240439332575	0.55686489560483	22968.470703125	19523.662109375	19523.662109375	10855.259765625	12171.146484375	12665.7451171875	206.36569213867188	203.85377502441406	218.55137634277344	0.5523542695657622	1.0226240439332575	1.5780419501417418	22968.470703125	19523.662109375	19523.662109375	10855.259765625	12171.146484375	12665.7451171875	206.36569213867188	203.85377502441406	218.55137634277344	0.7597834572125396	1.0226240439332575	0.44472853261382955	22968.470703125	19523.662109375	19523.662109375	10855.259765625	12171.146484375	12665.7451171875	206.36569213867188	203.85377502441406	218.55137634277344	41.952673927880824	78.68414395488799	74.00768809020519	135163.70058059692	134694.0279006958	266920.9957122803	0.984313725490196	0.5019607843137255	0.4470588235294118	1.0
8	ICON-LEM-CRM	1.8793045279306941	1.5771648988475058	1.4953943190433883	24826.92578125	20560.916015625	17318.623046875	10447.267578125	11947.267578125	13447.267578125	213.1471405029297	211.51976013183594	213.1784210205078	0.9044600512112424	1.5771648988475058	2.07329987607882	22894.98046875	20560.916015625	20263.599609375	10947.267578125	11947.267578125	12447.267578125	208.62521362304688	211.51976013183594	222.0085906982422	2.439954272060269	1.5771648988475058	0.7067347084482651	22894.98046875	20560.916015625	20263.599609375	10947.267578125	11947.267578125	12447.267578125	208.62521362304688	211.51976013183594	222.0085906982422	16.78841217653826	28.251143521629274	38.69310603477061	14.349292905535549	20.227213099133223	30.806061113253236	0.7411764705882353	0.6196078431372549	0.2235294117647059	1.0
9	ICON-LEM-VER	1.367035313300212	1.2097865038022906	1.090023267736389	23702.9453125	19933.7109375	16504.84765625	10757.1279296875	12157.1279296875	13757.1279296875	211.29852294921875	210.2823944091797	210.7352294921875	0.8071752100555117	1.2097865038022906	2.407911449472058	22945.607421875	19933.7109375	19956.86328125	10957.1279296875	12157.1279296875	12557.1279296875	209.53024291992188	210.2823944091797	221.0810546875	2.4944143079736185	1.2097865038022906	0.6335304892934883	22206.365234375	19933.7109375	19956.86328125	11157.1279296875	12157.1279296875	12557.1279296875	207.79405212402344	210.2823944091797	221.0810546875	23.01064960192889	31.89780400134623	45.24260002654046	18.54598813224584	25.213728076778352	38.078948273323476	0.9058823529411765	0.7294117647058823	0.3215686274509804	1.0
