	MODEL	V295	V300	V305	S295	S300	S305	I295	I300	I305
0	CM1-LES							0.6159279745794578	0.6051479346548964	0.6148471977885022
1	CM1	0.00024257574767763796	0.00019743975534041052	0.0001588267604076612				0.3809174943083092	0.355557843070753	0.3673348697597164
2	CM1-VER	0.00022870995273415351	0.00019351323687249853	0.00016537725575037376				0.37415385873824736	0.3462769055295478	0.34422642849059587
3	DALES-damping	0.00040403269088225594	0.0006542473441125669	0.00946311157817642				0.0	0.0	0.0
4	DALES-damping-VER	0.0005653632755274885	0.00047399456258669185	0.0009154005887103267				0.0	0.0	0.0
5	DALES-LES							0.0	0.0	0.0
6	DALES	0.00040207603118081657	0.0005727599743598451	0.0030443409205569575				0.0	0.0	0.0
7	DALES-VER	0.00018564805135611094	0.00018738237334522032	0.00016413201915687145				0.0	0.0	0.0
8	DAM	0.000501848861917501	0.00043157496041833487	0.00036641579774386287				0.5308416189010369	0.5106225258165875	0.50052298048235
9	ICON-LEM-CRM	0.000208658183086894	0.00019635377831568037	0.00015972142828464748				0.4791316290291087	0.47519842727564565	0.4697393259100469
10	ICON-LEM-LES	0.00011154837413036292	7.474467504537886e-05	5.575836574748656e-05				0.6188334905368011	0.6102385901154465	0.6094526043594061
11	ICON-LEM-VER	0.00035444682545840076	0.0003405959765532856	0.0002008733085904628				0.44854180132549476	0.44915834735048843	0.4438369536278923
12	ICON-NWP-CRM	0.002074400895991416	0.00198531966533241	0.0018217116070955671				0.5081724489940573	0.48541032503899867	0.4743691644073188
13	MESONH-LES							0.6937544834798818	0.7066623676633249	0.7486060112535837
14	MESONH	0.00026858433901603957	0.00025453055243512303	0.0002807021165305438				0.6836490569482545	0.6790197783790516	0.6354075258355443
15	MESONH-VER	0.0002317811172300329	0.0002000540123602453	0.0002065200704964809				0.5743589972989334	0.5344735424990532	0.5312626452928201
16	MicroHH-LES	0.0002720108759778449	0.0002801837395203565	0.00025679561108013645				0.7455917913821648	0.7495250656161038	0.7692738713170981
17	MicroHH	0.0005099781198442282	0.00046066664269126326	0.0003857497143657457				0.5895193090082939	0.5742045600395039	0.5599957075333951
18	MicroHH-VER	0.0004295973876776621	0.0004129508739400278	0.0003861043676280027				0.5627308932865204	0.5536774265236424	0.5496950312936042
19	MPAS	0.0012412163551198318	0.0009892781466724484	0.0008513301703149139				0.49730231412536263	0.482603049212016	0.444958488354105
20	SAM-CRM-LES							0.8410073261950777	0.8717475625900427	0.8969742367361304
21	SAM-CRM	0.00019884753084625117	0.00016163666052307235	0.00012711074348771944				0.7297977248817776	0.7270971827965252	0.7136079389848025
22	SAM-CRM-VER	0.00037898183523793705	0.000277690026438601	0.00023185569339451224				0.6148925873376359	0.5738847977453009	0.4308189622602621
23	SCALE	0.00043204615464977297	0.00032994794213057806	0.0003384639786963817				0.4492785711332429	0.4281339598382399	0.4204285728863277
24	UCLA-CRM	0.00037395548114242655	0.00032820023827567795	0.0003016844432064551				0.7422945618253628	0.7499699248199668	0.6724626994579121
25	UKMO-CASIM	0.000633230339565974	0.0007176310727906336	0.0006970779017622893				0.3268392503944762	0.2686396970002379	0.22880309510227637
26	UKMO-RA1-T-hrad	0.0009187783646242072	0.0010045119449690295	0.0010445309801434632				0.29505803139093995	0.2983355239700653	0.3080720613430489
27	UKMO-RA1-T-nocloud	0.0008043673623372645	0.0009763308441809689	0.001026706900690139				0.3403576783174239	0.3184300325487575	0.2677384222581854
28	UKMO-RA1-T	0.0017445268794350948	0.023564883686291675	0.02196086512412876				0.3634089779968093	0.35013755318166173	0.2469337013058048
29	WRF-COL-CRM	0.0001622931785490646	0.0001557638809028481	0.0001552488234796818				0.42905361802212877	0.3763219576627709	0.35984212134412985
30	WRF-CRM	0.0005197766584754083	0.000289749021948154	0.0003023685663196641				0.4824273686536388	0.47646561716971814	0.44626762637497186
31	WRF-GCM-cps0	0.0018737269903166028	0.0015486229778703849	0.0014024815395153685				0.0	0.0	0.0
32	WRF-GCM-cps1	0.0001885869724613561	0.0001868727537102662	0.00016502338181519842				0.0	0.0	0.0
33	WRF-GCM-cps2	0.0001871931422495739	0.0012264980874412382	0.0004255829869604592				0.0	0.0	0.0
34	WRF-GCM-cps3	0.0008706490316088396	0.000579430443400876	0.0004343815625291351				0.0	0.0	0.0
35	WRF-GCM-cps4	0.0027250161579771277	0.0040776053567727405	0.0038946787256281825				0.0	0.0	0.0
36	WRF-GCM-cps6	0.0009927387160322118	0.0007945767769948968	0.0005937906225820674				0.0	0.0	0.0
