	LABEL	CF295	CF300	CF305	AT295	AT300	AT305	AZ295	AZ300	AZ305	Cr	Cb	Cg	Ca
0	CM1	0.31164833903312683	0.23962938785552979	0.17269694805145264	201.56895446777344	208.22097778320312	209.38482666015625	12.0	12.5	14.5	0.19215686274509805	0.5098039215686274	0.7411764705882353	1.0
1	DAM	0.14185630954237943	0.12261634998217841	0.12087687433715014	213.5900725908917	217.05941261314317	218.0686940887316	10.5	11.5	13.0	0.4	0.7607843137254902	0.6470588235294118	1.0
2	FV3	0.19043338298797607	0.17325924336910248	0.23061752319335938	216.47804260253906	217.5555877685547	221.60848999023438	10.830580711364746	12.53524398803711	13.926874160766602	0.7372549019607844	0.7411764705882353	0.13333333333333333	1.0
3	ICON-LEM-CRM	0.5233438611030579	0.4696955382823944	0.36979323625564575	202.10995483398438	204.4723358154297	204.16241455078125	11.947267532348633	12.947267532348633	14.947267532348633	0.7411764705882353	0.6196078431372549	0.2235294117647059	1.0
4	ICON-NWP-CRM	0.25737470388412476	0.2886761724948883	0.27652984857559204	217.9958038330078	218.04977416992188	220.0272674560547	9.947267532348633	10.947267532348633	12.447267532348633	0.5490196078431373	0.42745098039215684	0.19215686274509805	1.0
5	MESONH	0.08828355371952057	0.08220303058624268	0.10448608547449112	224.74734497070312	224.95843505859375	225.8702850341797	9.0	10.5	12.0	0.9019607843137255	0.3333333333333333	0.050980392156862744	1.0
6	MPAS	0.1256132274866104	0.12797527015209198	0.12004423886537552	210.4951934814453	217.49549865722656	220.70169067382812	10.5	11.0	12.0	0.5019607843137255	0.6941176470588235	0.8274509803921568	1.0
7	NICAM	0.16732092201709747	0.1495920866727829	0.1236002966761589	219.690673828125	219.0927276611328	218.8777618408203	9.962830543518066	11.762829780578613	13.36283016204834	1.0	1.0	0.2	1.0
8	SAM-CRM	0.1349942833185196	0.10855206847190857	0.09750086814165115	209.1068572998047	214.68077087402344	218.67999267578125	11.0	12.0	13.5	0.6784313725490196	0.28627450980392155	0.2901960784313726	1.0
9	SAM-GCRM	0.15406906604766846	0.1118912398815155	0.11214488744735718	210.3456573486328	221.56153869628906	216.59033203125	11.0	11.5	14.0	0.5176470588235295	0.23529411764705882	0.2235294117647059	1.0
10	SCALE	0.13186773657798767	0.12594370543956757	0.10957331210374832	205.9480743408203	209.57737731933594	212.04348754882812	11.0	12.0	13.5	0.10588235294117647	0.6196078431372549	0.4666666666666667	1.0
11	UCLA-CRM	0.011914215981960297	0.01682085543870926	0.029894111678004265	212.48348999023438	209.19383239746094	212.71527099609375	12.0	14.0	15.5	1.0	0.9294117647058824	0.43529411764705883	1.0
12	UKMO-CASIM	0.1606713831424713	0.10305585712194443	0.059980861842632294	222.73361206054688	224.2225799560547	226.46524047851562	9.625	10.875	12.375	0.6470588235294118	0.3176470588235294	0.5803921568627451	1.0
13	UKMO-RA1-T	0.6453015883369501	0.39209855440957087	0.29903089916186076	200.60940422464358	202.79403851850213	207.379307021224	12.375	13.877385	15.668310000000002	0.807843137254902	0.42745098039215684	0.7411764705882353	1.0
14	UKMO-RA1-T-nocloud	0.5002608895301819	0.36392855644226074	0.2770806550979614	202.96371459960938	204.45387268066406	206.1422119140625	12.125	13.625760078430176	15.668309211730957	0.8901960784313725	0.4666666666666667	0.7607843137254902	1.0
15	WRF-COL-CRM	0.27890447951853276	0.24440835212667783	0.2146935257067283	211.2554950459798	212.95633107503255	215.04325518290202	11.008692549120031	12.34127294921875	13.760435205516279	0.2235294117647059	0.23137254901960785	0.4745098039215686	1.0
16	WRF-CRM	0.13270998001098633	0.14276890456676483	0.13734747469425201	184.81663513183594	198.0708465576172	204.97024536132812	14.466766357421875	13.93386459350586	14.466766357421875	0.3215686274509804	0.32941176470588235	0.6392156862745098	1.0
